Restaurant name,Star Rating,Star Text,Number of Review,Price,Cuisine,Booked Today,Extra Text,Opentable URL
Il Mulino Prime - SoHo,4.5,Awesome,726,Very Expensive,"Italian, SoHo",Booked 23 times today,Great food and great service. Went for restaurant week and ordered the meatballs and hanger steak - both were exceptional!,https://www.opentable.com/r/il-mulino-prime-soho?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Malibu Farm - New York,4.7,Exceptional,26,Expensive,"Farm-to-table, Financial District",Booked 5 times today,"Love it! Great food and ambiance and prices , love the poke bowl",https://www.opentable.com/r/malibu-farm-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Bazar Tapas Bar and Restaurant,4.5,Awesome,670,Moderate,"Tapas / Small Plates, NoMad",Booked 28 times today,Excellent food and service. Ambiance a bit dated but overall a great experience.,https://www.opentable.com/r/bazar-tapas-bar-and-restaurant-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
The Dining Room at RH Guesthouse New York,4.9,Exceptional,904,Very Expensive,"American, Meatpacking District",Booked 99 times today,Incredible all around can’t say enough good things,https://www.opentable.com/r/rh-guesthouse-the-dining-room-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Treadwell Park - Battery Park,4.2,Awesome,18,Expensive,"Beer Garden, Battery Park City",Booked 4 times today,love treadwell — great casual option + always happy with quality of the food. plethora of bar games available alongside tvs in every direction. grab a cold one with friends + family and enjoy all around,https://www.opentable.com/r/treadwell-park-battery-park-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Zia Maria Little Italy,4.6,Exceptional,315,Moderate,"Italian, Little Italy",Booked 20 times today,"Amazing food, drinks, and desert! Will definitely return!",https://www.opentable.com/r/zia-maria-little-italy-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Chelsea Ristorante,4.6,Exceptional,1004,Moderate,"Italian, Chelsea",Booked 9 times today,This restaurant is a hidden gem. The food was wonderful and the service was flawlessly executed. I am so looking forward to dining there again!!,https://www.opentable.com/chelsea-ristorante?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
T. Brasserie at Tin Building by Jean-Georges,4.1,Excellent,71,Very Expensive,"French, Financial District",Booked 4 times today,"Fantastic value for restaurant week, no skimping on portions or quality like many other places. Food was great and the service outstanding. I will definitely be back.",https://www.opentable.com/r/t-brasserie-at-tin-building-by-jean-georges-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Ivan Ramen,4.8,Exceptional,3189,Moderate,"Contemporary Asian, Lower East Side",Booked 19 times today,That was hands down the best experience and ramen i’ve ever had,https://www.opentable.com/ivan-ramen?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Orale Mexican Kitchen - Jersey City,4.8,Exceptional,754,Expensive,"Mexican, Jersey City",Booked 32 times today,All great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,https://www.opentable.com/r/orale-mexican-kitchen-jersey-city?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Paisley Restaurant,4.3,Awesome,125,Expensive,"Indian, TriBeCa",Booked 2 times today,Food was fantastic. Love the vibe of a restaurant and the staff are top notch!,https://www.opentable.com/r/paisley-restaurant-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Charlie Bird,4.7,Exceptional,155,Expensive,"Contemporary American, Greenwich Village",Booked 5 times today,The sommelier we had was absolutely incredible and took the time to teach us about the wine we were drinking. We had such a wonderful time!,https://www.opentable.com/r/charlie-bird?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Suprema Provisions,4.8,Exceptional,283,Expensive,"Italian, West Village",Booked 5 times today,The food and service is without compare!! It was crazy busy so we forgive that they forgot our birthday.,https://www.opentable.com/r/suprema-provisions-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Bistro Les Amis,4.8,Exceptional,820,Expensive,"French, SoHo",Booked 3 times today,Bistro Les Ami provided us with a delicious lunch of beautifully prepared French food. My steaks frites and my husband's chicken paillard both were wonderful.,https://www.opentable.com/bistro-les-amis?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
Frank Restaurant,4.4,Awesome,457,Moderate,"Italian, East Village",Booked 6 times today,Amazing.  Frank did not disappoint.  Great hospitality.  A must stop if you’re in the neighborhood.,https://www.opentable.com/r/frank-restaurant-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
La Contenta Oeste,4.6,Exceptional,43,Expensive,"Mexican, West Village",Booked 18 times today,"The service, the food and everything was AMAZING!!! They went above and beyond!!! Will def be coming back soon!!!",https://www.opentable.com/r/la-contenta-oeste-new-york?corrid=62327b5a-148a-486b-b8fd-a078cbab115c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2025-02-09T19%3A00%3A00
